id,rssi_data_id,anchor_id,rssi_value,timestamp,X,Y,name,dataset_id
34420,242,A2_H,-62,10:32:03,6.5,1,Galaxy S24,0
34421,243,A1_H,-70,10:32:29,7,1,Galaxy S24,0
34422,243,A3_H,-72,10:32:29,7,1,Galaxy S24,0
34423,243,A2_H,-77,10:32:29,7,1,Galaxy S24,0
34424,243,A4_V,-75,10:32:29,7,1,Galaxy S24,0
34425,243,A3_V,-73,10:32:29,7,1,Galaxy S24,0
34426,243,A1_V,-74,10:32:29,7,1,Galaxy S24,0
34427,243,A2_V,-78,10:32:29,7,1,Galaxy S24,0
34428,243,A4_H,-61,10:32:29,7,1,Galaxy S24,0
34429,244,A3_H,-78,10:32:57,7.5,1,Galaxy S24,0
34430,244,A1_V,-80,10:32:57,7.5,1,Galaxy S24,0
34431,244,A3_V,-78,10:32:57,7.5,1,Galaxy S24,0
34432,244,A2_H,-78,10:32:57,7.5,1,Galaxy S24,0
34433,244,A2_V,-71,10:32:57,7.5,1,Galaxy S24,0
34434,244,A1_H,-72,10:32:57,7.5,1,Galaxy S24,0
34435,244,A4_H,-64,10:32:57,7.5,1,Galaxy S24,0
34436,244,A4_V,-73,10:32:57,7.5,1,Galaxy S24,0
34437,245,A2_V,-70,10:33:53,0,1.5,Galaxy S24,0
34438,245,A2_H,-55,10:33:53,0,1.5,Galaxy S24,0
34439,245,A3_V,-60,10:33:53,0,1.5,Galaxy S24,0
34440,245,A1_V,-65,10:33:53,0,1.5,Galaxy S24,0
34441,245,A3_H,-64,10:33:53,0,1.5,Galaxy S24,0
34442,245,A4_H,-70,10:33:53,0,1.5,Galaxy S24,0
34443,245,A1_H,-66,10:33:53,0,1.5,Galaxy S24,0
34444,245,A4_V,-83,10:33:53,0,1.5,Galaxy S24,0
34445,246,A3_H,-75,10:34:26,0.5,1.5,Galaxy S24,0
34446,246,A3_V,-62,10:34:26,0.5,1.5,Galaxy S24,0
34447,246,A2_V,-83,10:34:26,0.5,1.5,Galaxy S24,0
34448,246,A1_H,-80,10:34:26,0.5,1.5,Galaxy S24,0
34449,246,A2_H,-61,10:34:26,0.5,1.5,Galaxy S24,0
34450,246,A1_V,-75,10:34:26,0.5,1.5,Galaxy S24,0
34451,246,A4_H,-74,10:34:26,0.5,1.5,Galaxy S24,0
34452,246,A4_V,-83,10:34:27,0.5,1.5,Galaxy S24,0
34453,247,A3_H,-62,10:34:52,1,1.5,Galaxy S24,0
34454,247,A2_H,-64,10:34:52,1,1.5,Galaxy S24,0
34455,247,A1_H,-83,10:34:52,1,1.5,Galaxy S24,0
34456,247,A2_V,-80,10:34:52,1,1.5,Galaxy S24,0
34457,247,A1_V,-91,10:34:52,1,1.5,Galaxy S24,0
34458,247,A3_V,-61,10:34:52,1,1.5,Galaxy S24,0
34459,247,A4_H,-74,10:34:53,1,1.5,Galaxy S24,0
34460,247,A4_V,-83,10:34:53,1,1.5,Galaxy S24,0
34461,248,A3_H,-68,10:35:21,1.5,1.5,Galaxy S24,0
34462,248,A1_H,-73,10:35:21,1.5,1.5,Galaxy S24,0
34463,248,A3_V,-66,10:35:21,1.5,1.5,Galaxy S24,0
34464,248,A4_H,-69,10:35:21,1.5,1.5,Galaxy S24,0
34465,248,A2_V,-77,10:35:21,1.5,1.5,Galaxy S24,0
34466,248,A1_V,-74,10:35:21,1.5,1.5,Galaxy S24,0
34467,248,A2_H,-69,10:35:21,1.5,1.5,Galaxy S24,0
34468,248,A4_V,-77,10:35:21,1.5,1.5,Galaxy S24,0
34469,249,A3_H,-78,10:35:51,2,1.5,Galaxy S24,0
34470,249,A4_V,-80,10:35:51,2,1.5,Galaxy S24,0
34471,249,A3_V,-62,10:35:51,2,1.5,Galaxy S24,0
34472,249,A1_V,-67,10:35:52,2,1.5,Galaxy S24,0
34473,249,A2_V,-74,10:35:52,2,1.5,Galaxy S24,0
