id,rssi_data_id,anchor_id,rssi_value,timestamp,X,Y,name,timestamp_2byte
34252,221,A2_V,-94,2025-08-07 10:18:29,3.5,0.5,Galaxy S24,32117
34253,222,A4_H,-78,2025-08-07 10:19:19,4.0,0.5,Galaxy S24,32167
34254,222,A2_H,-95,2025-08-07 10:19:19,4.0,0.5,Galaxy S24,32167
34255,222,A1_H,-69,2025-08-07 10:19:19,4.0,0.5,Galaxy S24,32167
34256,222,A4_V,-88,2025-08-07 10:19:20,4.0,0.5,Galaxy S24,32168
34257,222,A1_V,-82,2025-08-07 10:19:20,4.0,0.5,Galaxy S24,32168
34258,222,A2_V,-78,2025-08-07 10:19:20,4.0,0.5,Galaxy S24,32168
34259,222,A3_V,-74,2025-08-07 10:19:20,4.0,0.5,Galaxy S24,32168
34260,222,A3_H,-83,2025-08-07 10:19:20,4.0,0.5,Galaxy S24,32168
34261,223,A3_H,-74,2025-08-07 10:19:52,4.5,0.5,Galaxy S24,32200
34262,223,A1_H,-65,2025-08-07 10:19:52,4.5,0.5,Galaxy S24,32200
34263,223,A2_V,-80,2025-08-07 10:19:52,4.5,0.5,Galaxy S24,32200
34264,223,A4_V,-65,2025-08-07 10:19:52,4.5,0.5,Galaxy S24,32200
34265,223,A3_V,-76,2025-08-07 10:19:52,4.5,0.5,Galaxy S24,32200
34266,223,A1_V,-63,2025-08-07 10:19:52,4.5,0.5,Galaxy S24,32200
34267,223,A4_H,-73,2025-08-07 10:19:52,4.5,0.5,Galaxy S24,32200
34268,223,A2_H,-65,2025-08-07 10:19:52,4.5,0.5,Galaxy S24,32200
34269,224,A4_H,-68,2025-08-07 10:20:18,5.0,0.5,Galaxy S24,32226
34270,224,A1_H,-68,2025-08-07 10:20:18,5.0,0.5,Galaxy S24,32226
34271,224,A3_H,-91,2025-08-07 10:20:18,5.0,0.5,Galaxy S24,32226
34272,224,A1_V,-62,2025-08-07 10:20:18,5.0,0.5,Galaxy S24,32226
34273,224,A3_V,-80,2025-08-07 10:20:19,5.0,0.5,Galaxy S24,32227
34274,224,A2_H,-71,2025-08-07 10:20:19,5.0,0.5,Galaxy S24,32227
34275,224,A4_V,-79,2025-08-07 10:20:19,5.0,0.5,Galaxy S24,32227
34276,224,A2_V,-88,2025-08-07 10:20:19,5.0,0.5,Galaxy S24,32227
34277,225,A2_H,-72,2025-08-07 10:21:04,5.5,0.5,Galaxy S24,32272
34278,225,A1_H,-65,2025-08-07 10:21:04,5.5,0.5,Galaxy S24,32272
34279,225,A2_V,-76,2025-08-07 10:21:04,5.5,0.5,Galaxy S24,32272
34280,225,A1_V,-72,2025-08-07 10:21:04,5.5,0.5,Galaxy S24,32272
34281,225,A3_V,-80,2025-08-07 10:21:04,5.5,0.5,Galaxy S24,32272
34282,225,A4_H,-66,2025-08-07 10:21:04,5.5,0.5,Galaxy S24,32272
34283,225,A3_H,-79,2025-08-07 10:21:04,5.5,0.5,Galaxy S24,32272
34284,225,A4_V,-77,2025-08-07 10:21:04,5.5,0.5,Galaxy S24,32272
34285,226,A4_V,-80,2025-08-07 10:23:10,6.5,0.5,Galaxy S24,32398
34286,226,A4_H,-58,2025-08-07 10:23:10,6.5,0.5,Galaxy S24,32398
34287,226,A3_H,-81,2025-08-07 10:23:10,6.5,0.5,Galaxy S24,32398
34288,226,A2_H,-73,2025-08-07 10:23:10,6.5,0.5,Galaxy S24,32398
34289,226,A1_V,-62,2025-08-07 10:23:11,6.5,0.5,Galaxy S24,32399
34290,226,A1_H,-64,2025-08-07 10:23:11,6.5,0.5,Galaxy S24,32399
34291,226,A3_V,-75,2025-08-07 10:23:11,6.5,0.5,Galaxy S24,32399
34292,226,A2_V,-73,2025-08-07 10:23:11,6.5,0.5,Galaxy S24,32399
34293,227,A4_V,-64,2025-08-07 10:23:41,7.0,0.5,Galaxy S24,32429
34294,227,A1_V,-65,2025-08-07 10:23:41,7.0,0.5,Galaxy S24,32429
34295,227,A3_V,-83,2025-08-07 10:23:42,7.0,0.5,Galaxy S24,32430
